"account","userName","eventSource","eventName","calls"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","iam.amazonaws.com","ListAttachedRolePolicies","12"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","iam.amazonaws.com","ListRolePolicies","12"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","iam.amazonaws.com","GetRolePolicy","12"
"651295191577","AWSServiceRoleForResourceExplorer","kendra.amazonaws.com","ListIndices","12"
"693590665244","cdk-hnb659fds-deploy-role-693590665244-us-east-1","cloudformation.amazonaws.com","GetTemplate","11"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","logs.amazonaws.com","DescribeIndexPolicies","11"
"362055466028","AWSServiceRoleForResourceExplorer","apigateway.amazonaws.com","GetApis","11"
"362055466028","AWSServiceRoleForResourceExplorer","refactor-spaces.amazonaws.com","ListEnvironments","11"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-2","logs.amazonaws.com","DescribeResourcePolicies","11"
"362055466028","AWSServiceRoleForResourceExplorer","quicksight.amazonaws.com","DescribeAccountSubscription","11"
"151676528673","AWSServiceRoleForResourceExplorer","kendra.amazonaws.com","ListIndices","11"
"151676528673","AWSServiceRoleForResourceExplorer","ec2.amazonaws.com","DescribeSecurityGroupRules","10"
"651295191577","GitHubActionsDeploymentRole-us-east-2-651295191577","sts.amazonaws.com","GetCallerIdentity","10"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","logs.amazonaws.com","DescribeResourcePolicies","10"
"693590665244","cdk-hnb659fds-deploy-role-693590665244-us-east-2","cloudformation.amazonaws.com","DescribeChangeSet","10"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","logs.amazonaws.com","DescribeIndexPolicies","10"
"693590665244","cdk-hnb659fds-cfn-exec-role-693590665244-us-east-1","lambda.amazonaws.com","GetFunctionRecursionConfig","10"
"362055466028","AWSServiceRoleForResourceExplorer","ecs.amazonaws.com","ListClusters","10"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-2","kms.amazonaws.com","Decrypt","9"
"693590665244","cdk-hnb659fds-deploy-role-693590665244-us-east-1","ssm.amazonaws.com","GetParameter","9"
"362055466028","AWSServiceRoleForResourceExplorer","events.amazonaws.com","ListEventBuses","9"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketOwnershipControls","8"
"045107234435","cdk-hnb659fds-cfn-exec-role-045107234435-us-east-1","s3.amazonaws.com","GetBucketObjectLockConfiguration","8"
